Date,University,Title,Outlet,URL,Type,Mapping_or_Cutting,Notes,Image,MFT_mentioned
,"EXE, ICL, HWU, MAN, CAM, OXF, RHU, QMUL, TEE, LEE",,,https://www.theguardian.com/environment/2023/oct/04/uk-universities-take-41m-in-fossil-fuel-funding-since-2022,article,,,,
2023-11-28,"OXF, CAM, ICL, EDI, UCL, ABD, NOT, GLA, HWU, BRI, BAT",Revealed: How oil firms infiltrated British universities,,https://www.opendemocracy.net/en/dark-money-investigations/shell-bp-equinor-totalenergies-oxford-cambridge-bristol-ucl-big-oil-gas-fossil-fuels-158m/,article,,,https://cdn2.opendemocracy.net/media/images/University-OilGas.2e16d0ba.fill-1200x630.png,
,CAM,,,https://www.independent.co.uk/climate-change/news/bp-institute-name-change-cambridge-university-b2130695.html,article,,,,
