checked,uni,department,type,date_start,date_end,third_party,companies not on our list,project_size,description,newsworthy,notes,contact_person,URL1,URL2,URL3,URL4,URL5,URL6,URL7,URL8,URL9,URL10
1,UCL,,funding,2023-10-01,2027-09-30,ENI,,"Total EU contribution is  € 2 888 085.60, though neither UCL nor ENI receive any funding","UCL and Italian oil and gas company ENI are both partners in the EC Horizon project ""Surface and Interface phenomena in sustainable energy storage systems"" looking at energy storage",,,Aaron,https://cordis.europa.eu/project/id/101119913,,,,,,,,,
1,ICL,,"talk, sponsor",2017-06-09,2017-06-18,BP,,,"BP sponsored the ""The BP Imperial Hackathon"" at Imperial College, looking at voice-activated technology. According to the press release, the ideas were useful to BP, quoting a BP employee: ""Today we saw 15 fundamentally different ideas that could work for us""",,,Aaron,https://web.archive.org/web/20231211125547/https://www.imperial.ac.uk/news/180597/the-bp-imperial-hackathon/,https://web.archive.org/web/20231211130710/https://www.imperial.ac.uk/news/179538/bp-imperial-hackathon/,,,,,,,,
